Truth,Decoded
Salve quanto costa quell articolo,e bene uatrcoststeo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,pero mario
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pruatitr
A che ora arriva il pullman,e grazie rovarere un
Dovrebbe arrivare tra qualche minuto,prego io lo grazie certo
Quanto costa il biglietto,pruati
Purtroppo non lo so pero potresti chiedere all autista,pgruato e come autista
Va bene grazie lo stesso,e gratriclto
Prego,prego
Perfetto vorrei comprarne due.,tra io crcrie lo
Certo ecco a lei vuole un sacchetto,e granidoco atasieto
Si grazie e arrivederci,sirertr
Le auguro una buona giornata,pero sono a come tra
Buongiorno io sono Mario,prungio so mario
Buonasera io sono Mario,pruni lo sono io
Piacere Luigi come stai,pero io io e stai
Tutto bene tu,a io lo
