Truth,Decoded
Salve quanto costa quell articolo,a beatroco
E in offerta costa dieci euro,grazie
Tutto bene grazie,pgreai
Prendiamo un caffe al bar,e rendaoa un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e raieae un
Dovrebbe arrivare tra qualche minuto,va bene lo grazie io
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,si gretai
Va bene grazie lo stesso,e certo
Prego,prego
Perfetto vorrei comprarne due.,tra tearico
Certo ecco a lei vuole un sacchetto,e grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,sareat mario si bar
Buongiorno io sono Mario,prego io
Buonasera io sono Mario,pero io a
Piacere Luigi come stai,pero io e stai
Tutto bene tu,tra io
