Truth,Decoded
Salve quanto costa quell articolo,a regroto
E in offerta costa dieci euro,pigruiei
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,prego a come bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,si e e a
Dovrebbe arrivare tra qualche minuto,bene io io grazie lo
Quanto costa il biglietto,e gruti
Purtroppo non lo so pero potresti chiedere all autista,piegret autista
Va bene grazie lo stesso,e lei io lo
Prego,pigrui
Perfetto vorrei comprarne due.,e e e lo
Certo ecco a lei vuole un sacchetto,e grazie io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pero lo io e
Buongiorno io sono Mario,e io
Buonasera io sono Mario,pero io e a
Piacere Luigi come stai,pero io io stai
Tutto bene tu,e grazie bene io
