Truth,Decoded
Salve quanto costa quell articolo,saletuanto coctmelo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,pero mario
Prendiamo un caffe al bar,prendiamo a caffe al bar
"Certo volentieri, io lo prendero macchiato",preiar
A che ora arriva il pullman,e grazie rive e
Dovrebbe arrivare tra qualche minuto,prego io e certo
Quanto costa il biglietto,pruatilti
Purtroppo non lo so pero potresti chiedere all autista,piret io autista
Va bene grazie lo stesso,e grazie io
Prego,prego
Perfetto vorrei comprarne due.,e rairocrtiaric lo
Certo ecco a lei vuole un sacchetto,e graidici coieco
Si grazie e arrivederci,pireiai
Le auguro una buona giornata,perfetto cmacbe arlbar
Buongiorno io sono Mario,prego io mario
Buonasera io sono Mario,prego lo so bar
Piacere Luigi come stai,pero io come stai
Tutto bene tu,e tra lo io
