Truth,Decoded
Salve quanto costa quell articolo,a batuaerocto
E in offerta costa dieci euro,piegruziei
Tutto bene grazie,piretai
Prendiamo un caffe al bar,perentamo a caffe bar
"Certo volentieri, io lo prendero macchiato",pgrutai
A che ora arriva il pullman,si grazie lei e a
Dovrebbe arrivare tra qualche minuto,vrent lo grazie certo
Quanto costa il biglietto,e ruati
Purtroppo non lo so pero potresti chiedere all autista,pierete a
Va bene grazie lo stesso,e bar lo
Prego,pigrui
Perfetto vorrei comprarne due.,pero ora
Certo ecco a lei vuole un sacchetto,e grazie certo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,peretorocioe a
Buongiorno io sono Mario,e mario
Buonasera io sono Mario,pero io so mario
Piacere Luigi come stai,pero io stai
Tutto bene tu,sgrae si
