Truth,Decoded
Salve quanto costa quell articolo,sraro
E in offerta costa dieci euro,pigruiei
Tutto bene grazie,pigruai
Prendiamo un caffe al bar,prego un come bar
"Certo volentieri, io lo prendero macchiato",pgretr
A che ora arriva il pullman,si e a
Dovrebbe arrivare tra qualche minuto,pero lo grazie lo
Quanto costa il biglietto,e ruti
Purtroppo non lo so pero potresti chiedere all autista,pigretai
Va bene grazie lo stesso,e raito
Prego,pigrugi
Perfetto vorrei comprarne due.,e e lo
Certo ecco a lei vuole un sacchetto,e grazie io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pratr cioar
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero bar
Piacere Luigi come stai,pero io stai
Tutto bene tu,si grazie e io
