Truth,Decoded
Salve quanto costa quell articolo,svet quanto costa
E in offerta costa dieci euro,praziego
Tutto bene grazie,prut e
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prutr
A che ora arriva il pullman,e grazie arriva e un
Dovrebbe arrivare tra qualche minuto,prvent io lo vgrlre due
Quanto costa il biglietto,pruato
Purtroppo non lo so pero potresti chiedere all autista,prutr lo costa
Va bene grazie lo stesso,pratito
Prego,prego
Perfetto vorrei comprarne due.,sruat rotrtiarilo
Certo ecco a lei vuole un sacchetto,pranive costa
Si grazie e arrivederci,siretr
Le auguro una buona giornata,prve quanto moacore tra
Buongiorno io sono Mario,prego so mario
Buonasera io sono Mario,un lo so io
Piacere Luigi come stai,piereni si dieci e stai
Tutto bene tu,un e lo lo
