Truth,Decoded
Salve quanto costa quell articolo,siare uarcto
E in offerta costa dieci euro,pereieti
Tutto bene grazie,pero si
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,pero crver bar
Dovrebbe arrivare tra qualche minuto,e io lo gfrcrie certo
Quanto costa il biglietto,prerti
Purtroppo non lo so pero potresti chiedere all autista,piaereai
Va bene grazie lo stesso,prego io
Prego,prego
Perfetto vorrei comprarne due.,pero lo erdirilr
Certo ecco a lei vuole un sacchetto,pgrendici cociti
Si grazie e arrivederci,pireai
Le auguro una buona giornata,piacere io io che bar
Buongiorno io sono Mario,e io
Buonasera io sono Mario,pero io sono io
Piacere Luigi come stai,piacere io dieci stai
Tutto bene tu,e e lo
