Truth,Decoded
Salve quanto costa quell articolo,sabetuanercteo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,piret a
Prendiamo un caffe al bar,prendiamo un caffe bar
"Certo volentieri, io lo prendero macchiato",pruar
A che ora arriva il pullman,preieivere bar
Dovrebbe arrivare tra qualche minuto,certo ciovgrerie io
Quanto costa il biglietto,pruati
Purtroppo non lo so pero potresti chiedere all autista,prego e il autista
Va bene grazie lo stesso,e graito
Prego,sigrei
Perfetto vorrei comprarne due.,tra lo ceriri lo
Certo ecco a lei vuole un sacchetto,e raivi ataieto
Si grazie e arrivederci,pireai
Le auguro una buona giornata,piacere uoanrto io come artar
Buongiorno io sono Mario,pero mario
Buonasera io sono Mario,pero lo sono io
Piacere Luigi come stai,pero io si come stai
Tutto bene tu,e lo
