Truth,Decoded
Salve quanto costa quell articolo,a leiuaetrocto
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e bene arriva a
Dovrebbe arrivare tra qualche minuto,e bene io grazie pero
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,pieret e lo autista
Va bene grazie lo stesso,prari lei
Prego,pirei
Perfetto vorrei comprarne due.,pirazi voeiri lo
Certo ecco a lei vuole un sacchetto,e reaiove a dieci
Si grazie e arrivederci,pireai
Le auguro una buona giornata,piaereuoato a che a
Buongiorno io sono Mario,prugario
Buonasera io sono Mario,prego so a
Piacere Luigi come stai,piacere si come stai
Tutto bene tu,e io io
