Truth,Decoded
Salve quanto costa quell articolo,a laiuatrocoti
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e e stai
Prendiamo un caffe al bar,prendiamo a come al bar
"Certo volentieri, io lo prendero macchiato",pgruaio a
A che ora arriva il pullman,si grazie ariaoe e un
Dovrebbe arrivare tra qualche minuto,va bene io grazie lo
Quanto costa il biglietto,e grazie
Purtroppo non lo so pero potresti chiedere all autista,pgruat io io so lo il autista
Va bene grazie lo stesso,e gratr luigi lo
Prego,pigregi
Perfetto vorrei comprarne due.,tra io eriariole
Certo ecco a lei vuole un sacchetto,a grenio va a dieci
Si grazie e arrivederci,si stai
Le auguro una buona giornata,a e quanto io come grtan
Buongiorno io sono Mario,brug io
Buonasera io sono Mario,pranio si io so io
Piacere Luigi come stai,pieren io si lo si e stai
Tutto bene tu,a un lo
