Truth,Decoded
Salve quanto costa quell articolo,a renuartrocrcto
E in offerta costa dieci euro,pgraziegr
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",e rersde
A che ora arriva il pullman,e bene arifafe e a
Dovrebbe arrivare tra qualche minuto,va bene lo grearae certo
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,pero io io euro autista
Va bene grazie lo stesso,priarito
Prego,prego
Perfetto vorrei comprarne due.,tra voriari lo
Certo ecco a lei vuole un sacchetto,e grenodo io io
Si grazie e arrivederci,piretri
Le auguro una buona giornata,pereonto io come tra
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prenioico sono io
Piacere Luigi come stai,piacere io che stai
Tutto bene tu,vrenon lo
