Truth,Decoded
Salve quanto costa quell articolo,a reiuartrocsto
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e si
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pruatazo
A che ora arriva il pullman,e grazie ariae a
Dovrebbe arrivare tra qualche minuto,e bene io grere io
Quanto costa il biglietto,pratgi
Purtroppo non lo so pero potresti chiedere all autista,pero io e bene e autista
Va bene grazie lo stesso,e grazie lo
Prego,prego
Perfetto vorrei comprarne due.,preazi voeriri io
Certo ecco a lei vuole un sacchetto,e grenav a stesso
Si grazie e arrivederci,piretai
Le auguro una buona giornata,pereoao io io artar
Buongiorno io sono Mario,pregario
Buonasera io sono Mario,prenir a so io
Piacere Luigi come stai,pero io si come stai
Tutto bene tu,io bene lo
