Truth,Decoded
Salve quanto costa quell articolo,a lei uartro stai
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo a caffe al bar
"Certo volentieri, io lo prendero macchiato",pruar
A che ora arriva il pullman,e grazie arriva a
Dovrebbe arrivare tra qualche minuto,e bene io grazie io
Quanto costa il biglietto,e ratrti
Purtroppo non lo so pero potresti chiedere all autista,pieret e lo autista
Va bene grazie lo stesso,e bar io si
Prego,pirei
Perfetto vorrei comprarne due.,pero roeriari lo
Certo ecco a lei vuole un sacchetto,e greaivi stai
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,paretoaro a come arlar
Buongiorno io sono Mario,bregoario
Buonasera io sono Mario,preniri io snoaro
Piacere Luigi come stai,piacere io si che stai
Tutto bene tu,a e si
