Truth,Decoded
Salve quanto costa quell articolo,hetidarocoteo
E in offerta costa dieci euro,pgrazigi
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",preiti
A che ora arriva il pullman,griairive a
Dovrebbe arrivare tra qualche minuto,drentdio gracriedheto
Quanto costa il biglietto,prut dieci
Purtroppo non lo so pero potresti chiedere all autista,prutr come e autista
Va bene grazie lo stesso,si grairigireto
Prego,prego
Perfetto vorrei comprarne due.,rairoeriri io
Certo ecco a lei vuole un sacchetto,e graidocro atasiedeio
Si grazie e arrivederci,sigreti
Le auguro una buona giornata,perfetoadcma come artar
Buongiorno io sono Mario,pruono mario
Buonasera io sono Mario,preonio sono io
Piacere Luigi come stai,pero io lo e stai
Tutto bene tu,tutto
