Truth,Decoded
Salve quanto costa quell articolo,a veiuartrocti
E in offerta costa dieci euro,grazie
Tutto bene grazie,pero e grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pruiar
A che ora arriva il pullman,e bene mario e bar
Dovrebbe arrivare tra qualche minuto,prego ciomgrerie certo
Quanto costa il biglietto,perati
Purtroppo non lo so pero potresti chiedere all autista,certo tra io e autista
Va bene grazie lo stesso,perersicl lo
Prego,pirei
Perfetto vorrei comprarne due.,pero lo si lo
Certo ecco a lei vuole un sacchetto,e reniavi gtiesir
Si grazie e arrivederci,pirerti
Le auguro una buona giornata,pireuaro io come artar
Buongiorno io sono Mario,prugaio
Buonasera io sono Mario,preniogricor lo so io
Piacere Luigi come stai,piacere io io io e stai
Tutto bene tu,tra e e lo
