Truth,Decoded
Salve quanto costa quell articolo,a lei uartro coctseo
E in offerta costa dieci euro,e grazie lei
Tutto bene grazie,e gret mario
Prendiamo un caffe al bar,prendiamo un come al bar
"Certo volentieri, io lo prendero macchiato",pratieco
A che ora arriva il pullman,e grazie rival e e
Dovrebbe arrivare tra qualche minuto,e bene io grazie bene
Quanto costa il biglietto,e rate a
Purtroppo non lo so pero potresti chiedere all autista,certo e lo bene il autista
Va bene grazie lo stesso,e grazirsiculto
Prego,pireti
Perfetto vorrei comprarne due.,pero lo creiai lo
Certo ecco a lei vuole un sacchetto,e renioavo a siceasei
Si grazie e arrivederci,siretri
Le auguro una buona giornata,paret mario io coavlfe tra
Buongiorno io sono Mario,prego so mario
Buonasera io sono Mario,prendero io sono mario
Piacere Luigi come stai,pereni io io come e stai
Tutto bene tu,a un stai
