Truth,Decoded
Salve quanto costa quell articolo,a stai arocto
E in offerta costa dieci euro,perezieti
Tutto bene grazie,prego grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e grazie mario e a
Dovrebbe arrivare tra qualche minuto,prendero cogrie certo
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,pieret e stai
Va bene grazie lo stesso,e greairsito
Prego,pero
Perfetto vorrei comprarne due.,pero io rerilr
Certo ecco a lei vuole un sacchetto,e graovr stai
Si grazie e arrivederci,piretrti
Le auguro una buona giornata,peretporo come tra
Buongiorno io sono Mario,preraio
Buonasera io sono Mario,prenror lo seoar
Piacere Luigi come stai,pereni io che stai
Tutto bene tu,a e il io
