Truth,Decoded
Salve quanto costa quell articolo,a lei quanto coctmei
E in offerta costa dieci euro,grazie si
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prutr
A che ora arriva il pullman,si grazie rivre e a
Dovrebbe arrivare tra qualche minuto,perent e io grazie euro
Quanto costa il biglietto,tra io
Purtroppo non lo so pero potresti chiedere all autista,perfetto e come e lo autista
Va bene grazie lo stesso,e raisiegilti
Prego,prego
Perfetto vorrei comprarne due.,e grazie vrosretiarici io
Certo ecco a lei vuole un sacchetto,e gfenteoavco tra dieci
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,piacere quanto ciovlme prtar
Buongiorno io sono Mario,pruoario
Buonasera io sono Mario,prueni lo so io
Piacere Luigi come stai,piacere io lo e stai
Tutto bene tu,pero lei
