Truth,Decoded
Salve quanto costa quell articolo,a lei uarococtseo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,pero grti
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prair
A che ora arriva il pullman,e grazie arriva un un
Dovrebbe arrivare tra qualche minuto,prego cioagrarie pero
Quanto costa il biglietto,pratr
Purtroppo non lo so pero potresti chiedere all autista,pero io io io pero autista
Va bene grazie lo stesso,e rarsiclto
Prego,pero
Perfetto vorrei comprarne due.,pero voreiari lo
Certo ecco a lei vuole un sacchetto,e renvi a io
Si grazie e arrivederci,piretr
Le auguro una buona giornata,pero quarocoa come tra
Buongiorno io sono Mario,bruogio so mario
Buonasera io sono Mario,prendero sono mario
Piacere Luigi come stai,piacere io io io e stai
Tutto bene tu,a io lo io
