Truth,Decoded
Salve quanto costa quell articolo,siragrto
E in offerta costa dieci euro,pigruie e
Tutto bene grazie,pigruti
Prendiamo un caffe al bar,pero io un come a
"Certo volentieri, io lo prendero macchiato",sigruti
A che ora arriva il pullman,si e si
Dovrebbe arrivare tra qualche minuto,prendero e realie io
Quanto costa il biglietto,si gruti
Purtroppo non lo so pero potresti chiedere all autista,pigretita
Va bene grazie lo stesso,si lei io
Prego,pigruai
Perfetto vorrei comprarne due.,pirue e e io
Certo ecco a lei vuole un sacchetto,si graiui stai
Si grazie e arrivederci,pigreai
Le auguro una buona giornata,pirar si citr
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pirei a
Piacere Luigi come stai,pero eiti
Tutto bene tu,sigrazi e e si
