Truth,Decoded
Salve quanto costa quell articolo,a le antococtapelo
E in offerta costa dieci euro,e grazie si
Tutto bene grazie,si lei a
Prendiamo un caffe al bar,prendiamo a vuole al bar
"Certo volentieri, io lo prendero macchiato",pretelo
A che ora arriva il pullman,e reaie arvae e lo
Dovrebbe arrivare tra qualche minuto,dovrebbe e lo grazie euro
Quanto costa il biglietto,prate io si
Purtroppo non lo so pero potresti chiedere all autista,pieret io e io e e e il autista
Va bene grazie lo stesso,e reiri cilceto
Prego,prego
Perfetto vorrei comprarne due.,prego io ceraricl lo
Certo ecco a lei vuole un sacchetto,e reniedoaco a stai io
Si grazie e arrivederci,dieci
Le auguro una buona giornata,paerfetoato a un le plan
Buongiorno io sono Mario,pruogro e mario
Buonasera io sono Mario,pruanti io so io
Piacere Luigi come stai,pieret io lo e stai
Tutto bene tu,sret lo
