Truth,Decoded
Salve quanto costa quell articolo,a latuatrocti
E in offerta costa dieci euro,pigraziei
Tutto bene grazie,pirei
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pgruai
A che ora arriva il pullman,si grazie due a
Dovrebbe arrivare tra qualche minuto,e brentorerae certo
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,prego autista
Va bene grazie lo stesso,e grazie lo
Prego,pero
Perfetto vorrei comprarne due.,e eoerir
Certo ecco a lei vuole un sacchetto,e grazie ctasti
Si grazie e arrivederci,siretai
Le auguro una buona giornata,prego ocoetar
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero io mario
Piacere Luigi come stai,pero io si come stai
Tutto bene tu,un e si
