Truth,Decoded
Salve quanto costa quell articolo,a retiuartrcoctoseo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,prendiamo un come al bar
"Certo volentieri, io lo prendero macchiato",prutar
A che ora arriva il pullman,e io arriva e bar
Dovrebbe arrivare tra qualche minuto,prego io grazie certo
Quanto costa il biglietto,prego
Purtroppo non lo so pero potresti chiedere all autista,prego io sono il autista
Va bene grazie lo stesso,e grarsieieto
Prego,sigratgo
Perfetto vorrei comprarne due.,pero lo mario lo
Certo ecco a lei vuole un sacchetto,e greniv un vioeio
Si grazie e arrivederci,si retzr
Le auguro una buona giornata,salve quanto io come grtar
Buongiorno io sono Mario,bruogo so mario
Buonasera io sono Mario,prendero lo sono mario
Piacere Luigi come stai,piacere io come stai
Tutto bene tu,e lo
