Truth,Decoded
Salve quanto costa quell articolo,e bene mario coctatelo
E in offerta costa dieci euro,e grazie si
Tutto bene grazie,e mario
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",preatilo
A che ora arriva il pullman,e stai rivace a
Dovrebbe arrivare tra qualche minuto,dovrent ciovgracrie hcluro
Quanto costa il biglietto,pruati lo
Purtroppo non lo so pero potresti chiedere all autista,certo io come pero e lo autista
Va bene grazie lo stesso,e grairi lo
Prego,prego
Perfetto vorrei comprarne due.,e stai lo crcirioci lo
Certo ecco a lei vuole un sacchetto,e renidoacoa atacoe aicro
Si grazie e arrivederci,si retircrli
Le auguro una buona giornata,piacere io dcmacme stai
Buongiorno io sono Mario,pruongo io mario
Buonasera io sono Mario,prego lo so mario
Piacere Luigi come stai,piereno cicmoe stai
Tutto bene tu,pretoltgo
