Truth,Decoded
Salve quanto costa quell articolo,e heat uantrocslo
E in offerta costa dieci euro,si grazie io
Tutto bene grazie,e gret a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e grazie arriva un
Dovrebbe arrivare tra qualche minuto,e bene io grazie minuto
Quanto costa il biglietto,tra si
Purtroppo non lo so pero potresti chiedere all autista,perfetto io e lo autista
Va bene grazie lo stesso,e grazie io lo lo
Prego,pigruazgi
Perfetto vorrei comprarne due.,pero lo erpr le
Certo ecco a lei vuole un sacchetto,e quanto e e io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,piacere quanto io come bar
Buongiorno io sono Mario,brugoario
Buonasera io sono Mario,prani io so io
Piacere Luigi come stai,piacere io io lo e stai
Tutto bene tu,e e e io
