Truth,Decoded
Salve quanto costa quell articolo,sareaero so
E in offerta costa dieci euro,pegreiegi
Tutto bene grazie,pero a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e grazie a
Dovrebbe arrivare tra qualche minuto,prendero lo grazie tutto
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,pieret aita
Va bene grazie lo stesso,e lo
Prego,prego
Perfetto vorrei comprarne due.,e earile
Certo ecco a lei vuole un sacchetto,e grazie si
Si grazie e arrivederci,pireai
Le auguro una buona giornata,peretor io io a
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,pero so mario
Piacere Luigi come stai,pero si e stai
Tutto bene tu,tra io
