Truth,Decoded
Salve quanto costa quell articolo,sareroto
E in offerta costa dieci euro,sigraziego
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,prenaoa a caffe lo
"Certo volentieri, io lo prendero macchiato",sgreto
A che ora arriva il pullman,si graer e io
Dovrebbe arrivare tra qualche minuto,prego lo rearie lo
Quanto costa il biglietto,e rato
Purtroppo non lo so pero potresti chiedere all autista,pigretl una
Va bene grazie lo stesso,si a io
Prego,pigrugi
Perfetto vorrei comprarne due.,prego rarelo
Certo ecco a lei vuole un sacchetto,e grazie lo
Si grazie e arrivederci,pirear
Le auguro una buona giornata,pretoro e io a
Buongiorno io sono Mario,tra mario
Buonasera io sono Mario,prego io a
Piacere Luigi come stai,pero io stai
Tutto bene tu,stai lo
