Truth,Decoded
Salve quanto costa quell articolo,sirugro
E in offerta costa dieci euro,si grueai
Tutto bene grazie,sigrui
Prendiamo un caffe al bar,a a a e io
"Certo volentieri, io lo prendero macchiato",sigrui
A che ora arriva il pullman,sigraei
Dovrebbe arrivare tra qualche minuto,saranz io io
Quanto costa il biglietto,si gruti
Purtroppo non lo so pero potresti chiedere all autista,pigru si
Va bene grazie lo stesso,si io
Prego,sigruai
Perfetto vorrei comprarne due.,sirue e e io
Certo ecco a lei vuole un sacchetto,sigruie io
Si grazie e arrivederci,sigrui
Le auguro una buona giornata,pigruzr e
Buongiorno io sono Mario,pigrueto
Buonasera io sono Mario,pruear
Piacere Luigi come stai,pigrue a
Tutto bene tu,sigruze a
