Truth,Decoded
Salve quanto costa quell articolo,sabeuanroto
E in offerta costa dieci euro,si grazie e
Tutto bene grazie,prego stai
Prendiamo un caffe al bar,prendiamo a caffe bar
"Certo volentieri, io lo prendero macchiato",pruti
A che ora arriva il pullman,e tra e e a
Dovrebbe arrivare tra qualche minuto,bene io io grazie certo
Quanto costa il biglietto,e ratrto
Purtroppo non lo so pero potresti chiedere all autista,pgret e il autista
Va bene grazie lo stesso,e a e iglto
Prego,pigrugi
Perfetto vorrei comprarne due.,tra erariolo
Certo ecco a lei vuole un sacchetto,e grazie gteti
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pareoro io cioea
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero io io sono
Piacere Luigi come stai,piacere io stai
Tutto bene tu,sono e lo
