Truth,Decoded
Salve quanto costa quell articolo,e dieci uantrocostseo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,sret e grazie
Prendiamo un caffe al bar,prendiamo un come a bar
"Certo volentieri, io lo prendero macchiato",pratr
A che ora arriva il pullman,e bene io rovae e lman
Dovrebbe arrivare tra qualche minuto,perent io lo grazie ehnto
Quanto costa il biglietto,tra si
Purtroppo non lo so pero potresti chiedere all autista,e grut io io so il autista
Va bene grazie lo stesso,e gratri il io
Prego,sgretgo
Perfetto vorrei comprarne due.,pero lo mario lo
Certo ecco a lei vuole un sacchetto,e grenv a sieto
Si grazie e arrivederci,sirerzi
Le auguro una buona giornata,bar quanto a vuole grtar
Buongiorno io sono Mario,prego so mario
Buonasera io sono Mario,prenir io sono io
Piacere Luigi come stai,pero io io io e stai
Tutto bene tu,a lo e lo
