Truth,Decoded
Salve quanto costa quell articolo,a rauaro io
E in offerta costa dieci euro,pigraziei
Tutto bene grazie,pigre si
Prendiamo un caffe al bar,prendiamo a caffe al bar
"Certo volentieri, io lo prendero macchiato",pgrei
A che ora arriva il pullman,si graiera e a
Dovrebbe arrivare tra qualche minuto,prendero rarae certo
Quanto costa il biglietto,e ratrto
Purtroppo non lo so pero potresti chiedere all autista,pierete lo autista
Va bene grazie lo stesso,si grazie lo
Prego,pigrui
Perfetto vorrei comprarne due.,pirai eiarilio
Certo ecco a lei vuole un sacchetto,si grazie io
Si grazie e arrivederci,pireti
Le auguro una buona giornata,perfetto io lo a
Buongiorno io sono Mario,prugario
Buonasera io sono Mario,pero io io a
Piacere Luigi come stai,piacere io si io stai
Tutto bene tu,grazie io
