Truth,Decoded
Salve quanto costa quell articolo,siraro
E in offerta costa dieci euro,sigrueai
Tutto bene grazie,pirui
Prendiamo un caffe al bar,e a a a e stai
"Certo volentieri, io lo prendero macchiato",sigrui
A che ora arriva il pullman,sirueai
Dovrebbe arrivare tra qualche minuto,srania il lo
Quanto costa il biglietto,si gruti
Purtroppo non lo so pero potresti chiedere all autista,pigruti
Va bene grazie lo stesso,si io
Prego,sigruai
Perfetto vorrei comprarne due.,pirue e io
Certo ecco a lei vuole un sacchetto,siruie io
Si grazie e arrivederci,pigrui
Le auguro una buona giornata,pigrur io io
Buongiorno io sono Mario,pigruego
Buonasera io sono Mario,pruieazr
Piacere Luigi come stai,pirie a
Tutto bene tu,siruze e
