Truth,Decoded
Salve quanto costa quell articolo,a lei aetrococsoseo
E in offerta costa dieci euro,e grazie e
Tutto bene grazie,pero a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pruaio
A che ora arriva il pullman,e grazie arrivare e
Dovrebbe arrivare tra qualche minuto,e bene io grazie pero
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,certo e e il autista
Va bene grazie lo stesso,e grairi lo
Prego,pero
Perfetto vorrei comprarne due.,prego oearie lo e
Certo ecco a lei vuole un sacchetto,e grazie atasiesio
Si grazie e arrivederci,si pero
Le auguro una buona giornata,bar tutto io come bar
Buongiorno io sono Mario,prego so mario
Buonasera io sono Mario,prenir lo sono mario
Piacere Luigi come stai,pereni io come stai
Tutto bene tu,e a io lo
