Truth,Decoded
Salve quanto costa quell articolo,sregroto
E in offerta costa dieci euro,pigruiei
Tutto bene grazie,pigrei
Prendiamo un caffe al bar,prendiamo a che all
"Certo volentieri, io lo prendero macchiato",pigrer
A che ora arriva il pullman,si grer a
Dovrebbe arrivare tra qualche minuto,bene io grazie io
Quanto costa il biglietto,e gruti
Purtroppo non lo so pero potresti chiedere all autista,pigreta
Va bene grazie lo stesso,sigreio
Prego,pigregi
Perfetto vorrei comprarne due.,pero e mario
Certo ecco a lei vuole un sacchetto,si grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pero pero io
Buongiorno io sono Mario,e mario
Buonasera io sono Mario,pero io e e a
Piacere Luigi come stai,pero io stai
Tutto bene tu,sigrai e io
