Truth,Decoded
Salve quanto costa quell articolo,e reatieuaer costa
E in offerta costa dieci euro,e grazie
Tutto bene grazie,pero si
Prendiamo un caffe al bar,prenrda lo un caffe al bar
"Certo volentieri, io lo prendero macchiato",preteti
A che ora arriva il pullman,e graitove e un
Dovrebbe arrivare tra qualche minuto,prego lo grazie euro
Quanto costa il biglietto,pruati
Purtroppo non lo so pero potresti chiedere all autista,piret lo autista
Va bene grazie lo stesso,e gratr iegir si
Prego,pero
Perfetto vorrei comprarne due.,preati lo grazie lo
Certo ecco a lei vuole un sacchetto,e grazie aoaseto
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,peretoao a cmrame artan
Buongiorno io sono Mario,pruongio mario
Buonasera io sono Mario,prego io sono mario
Piacere Luigi come stai,pero io come stai
Tutto bene tu,tra e lo
