Truth,Decoded
Salve quanto costa quell articolo,a e artrocosteo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prutitr
A che ora arriva il pullman,e io io io a
Dovrebbe arrivare tra qualche minuto,prego lo grazie tutto
Quanto costa il biglietto,pratrto
Purtroppo non lo so pero potresti chiedere all autista,prego tra so lo autista
Va bene grazie lo stesso,e grarsi certo
Prego,prego
Perfetto vorrei comprarne due.,tra io crcirie lo
Certo ecco a lei vuole un sacchetto,e renioce aoasieto
Si grazie e arrivederci,pirertr
Le auguro una buona giornata,piaerepo io a come bar
Buongiorno io sono Mario,pruogio so mario
Buonasera io sono Mario,prenioi lo sono io
Piacere Luigi come stai,piaerein si io e stai
Tutto bene tu,pero e io e lo
