Truth,Decoded
Salve quanto costa quell articolo,sareroto
E in offerta costa dieci euro,pigraieti
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,pero io un come a
"Certo volentieri, io lo prendero macchiato",pigrui
A che ora arriva il pullman,si grer a
Dovrebbe arrivare tra qualche minuto,varene io e lei lo
Quanto costa il biglietto,e gruti
Purtroppo non lo so pero potresti chiedere all autista,pigreta
Va bene grazie lo stesso,si a io il
Prego,pigruai
Perfetto vorrei comprarne due.,pero e e lei
Certo ecco a lei vuole un sacchetto,si grazie lei
Si grazie e arrivederci,pireai
Le auguro una buona giornata,tra lo io bar
Buongiorno io sono Mario,preario
Buonasera io sono Mario,pero io a
Piacere Luigi come stai,pero si e stai
Tutto bene tu,si grazie e si
