Truth,Decoded
Salve quanto costa quell articolo,a heati uartococto e io
E in offerta costa dieci euro,e grazie so
Tutto bene grazie,e e e stai
Prendiamo un caffe al bar,prendiamo un come al bar
"Certo volentieri, io lo prendero macchiato",e e e sono io
A che ora arriva il pullman,tra arriva due
Dovrebbe arrivare tra qualche minuto,bene lo greare certo
Quanto costa il biglietto,e a lo
Purtroppo non lo so pero potresti chiedere all autista,perfetto io io lo e lei il autista
Va bene grazie lo stesso,pereaorsacu io
Prego,e prego
Perfetto vorrei comprarne due.,e e lo e io il io
Certo ecco a lei vuole un sacchetto,gfentoa cvovat sicie lo io
Si grazie e arrivederci,si reztdtr certo io
Le auguro una buona giornata,pero ouoato lo come tra
Buongiorno io sono Mario,euro mario
Buonasera io sono Mario,prego io sono lo sono io
Piacere Luigi come stai,piacere io cioco io e stai
Tutto bene tu,raoen io
