Truth,Decoded
Salve quanto costa quell articolo,a bene uaercosteo
E in offerta costa dieci euro,si grazie e e
Tutto bene grazie,prego grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",srut a
A che ora arriva il pullman,si grazie arriva un
Dovrebbe arrivare tra qualche minuto,perent io ciovgracre certo
Quanto costa il biglietto,piruati
Purtroppo non lo so pero potresti chiedere all autista,minuto e lo lo autista
Va bene grazie lo stesso,e gratgr iglto
Prego,si greti
Perfetto vorrei comprarne due.,sirati lo crtriariec lo
Certo ecco a lei vuole un sacchetto,e graivavgi costa
Si grazie e arrivederci,sireiai
Le auguro una buona giornata,piacereoponto io come artan
Buongiorno io sono Mario,bruogio e io
Buonasera io sono Mario,prunir lo sono mario
Piacere Luigi come stai,piereni e io io e stai
Tutto bene tu,e e lo
