Truth,Decoded
Salve quanto costa quell articolo,a reati atrcoteo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,pero stai
Prendiamo un caffe al bar,prendiamo a caffe bar
"Certo volentieri, io lo prendero macchiato",preaiti
A che ora arriva il pullman,e grazie euro bar
Dovrebbe arrivare tra qualche minuto,prego ciovcfrarie certo
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,piretr stai
Va bene grazie lo stesso,e grairieti
Prego,pgratgi
Perfetto vorrei comprarne due.,grazie lo ceriaic lo
Certo ecco a lei vuole un sacchetto,e graici aoito
Si grazie e arrivederci,pireti
Le auguro una buona giornata,pieretoao io macrae artan
Buongiorno io sono Mario,e mario
Buonasera io sono Mario,prani e un mario
Piacere Luigi come stai,perani si come stai
Tutto bene tu,e e lo
