Truth,Decoded
Salve quanto costa quell articolo,sirarito
E in offerta costa dieci euro,sigruieai
Tutto bene grazie,pigreati
Prendiamo un caffe al bar,pero io un come bar
"Certo volentieri, io lo prendero macchiato",si gruate
A che ora arriva il pullman,si e a
Dovrebbe arrivare tra qualche minuto,e bene io e lei lo
Quanto costa il biglietto,si grurti
Purtroppo non lo so pero potresti chiedere all autista,piagrear
Va bene grazie lo stesso,si e si
Prego,sigruai
Perfetto vorrei comprarne due.,pirugoe e e lei
Certo ecco a lei vuole un sacchetto,si grazie stai
Si grazie e arrivederci,pireai
Le auguro una buona giornata,si a e lo a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero a
Piacere Luigi come stai,pierei a
Tutto bene tu,si grazie e e si
