Truth,Decoded
Salve quanto costa quell articolo,a lei uartrcststo
E in offerta costa dieci euro,si grazie
Tutto bene grazie,si tra a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",praziar
A che ora arriva il pullman,e grazie tivme a
Dovrebbe arrivare tra qualche minuto,va bene crogriehto
Quanto costa il biglietto,pirati
Purtroppo non lo so pero potresti chiedere all autista,si grutor lo e lo autista
Va bene grazie lo stesso,si grairigieto
Prego,si prego
Perfetto vorrei comprarne due.,si raziro ceriaiclr
Certo ecco a lei vuole un sacchetto,si grairio atasieto
Si grazie e arrivederci,si stai
Le auguro una buona giornata,piereto io a a e artar
Buongiorno io sono Mario,pruoaio
Buonasera io sono Mario,preniri lo un mario
Piacere Luigi come stai,pero come stai
Tutto bene tu,e a lo
