Truth,Decoded
Salve quanto costa quell articolo,a raiuaro io
E in offerta costa dieci euro,si grazie io
Tutto bene grazie,pirei
Prendiamo un caffe al bar,pvrenamo a caffe al bar
"Certo volentieri, io lo prendero macchiato",pero
A che ora arriva il pullman,e graierea e a
Dovrebbe arrivare tra qualche minuto,e bene lo grazie tutto
Quanto costa il biglietto,e greati
Purtroppo non lo so pero potresti chiedere all autista,pieret tra
Va bene grazie lo stesso,e greari io lo
Prego,pireai
Perfetto vorrei comprarne due.,e orarilo
Certo ecco a lei vuole un sacchetto,e grazie io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,peretoro io io a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero io mario
Piacere Luigi come stai,pero io e stai
Tutto bene tu,e grazie si
