Truth,Decoded
Salve quanto costa quell articolo,e ratiuaetrocostseo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,pero a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pgrutar
A che ora arriva il pullman,e grazie arrivare a
Dovrebbe arrivare tra qualche minuto,prego lo grazie ecco
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,pirutr io autista
Va bene grazie lo stesso,e ratri lo
Prego,pero
Perfetto vorrei comprarne due.,si grazie oseriari lo
Certo ecco a lei vuole un sacchetto,e grazie aoasiesi
Si grazie e arrivederci,sirerai
Le auguro una buona giornata,piacere quaroa come tra
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,praniro sono io
Piacere Luigi come stai,piacere io io io e stai
Tutto bene tu,a io io
