Truth,Decoded
Salve quanto costa quell articolo,a beiuartrococtomeo
E in offerta costa dieci euro,e grazie si
Tutto bene grazie,ora grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego io
A che ora arriva il pullman,grini arivami e e
Dovrebbe arrivare tra qualche minuto,e bene io lo grazie certo
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,prut io e lo e il autista
Va bene grazie lo stesso,e grairsi lo
Prego,prego
Perfetto vorrei comprarne due.,e lo e ariclr
Certo ecco a lei vuole un sacchetto,e grazie lo a stesso
Si grazie e arrivederci,sireti
Le auguro una buona giornata,pereouoa io io covlfe tra
Buongiorno io sono Mario,brungioario
Buonasera io sono Mario,prego lo sono io
Piacere Luigi come stai,piacere io io io stai
Tutto bene tu,io un lo
