Truth,Decoded
Salve quanto costa quell articolo,a beuaroco
E in offerta costa dieci euro,pgraiegi
Tutto bene grazie,pgregai
Prendiamo un caffe al bar,prego a caffe bar
"Certo volentieri, io lo prendero macchiato",pgrei
A che ora arriva il pullman,e e e a
Dovrebbe arrivare tra qualche minuto,bene io io io
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,pgrut io
Va bene grazie lo stesso,e a io
Prego,pigrui
Perfetto vorrei comprarne due.,tra io
Certo ecco a lei vuole un sacchetto,e tra si
Si grazie e arrivederci,pireai
Le auguro una buona giornata,mario io bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,pero io a
Piacere Luigi come stai,pero si stai
Tutto bene tu,e tra lo
