Truth,Decoded
Salve quanto costa quell articolo,sarerocto
E in offerta costa dieci euro,pigruiei
Tutto bene grazie,pigreai
Prendiamo un caffe al bar,prego a che bar
"Certo volentieri, io lo prendero macchiato",pgrer
A che ora arriva il pullman,e grazie e a
Dovrebbe arrivare tra qualche minuto,va bene lo gfrie io
Quanto costa il biglietto,e gruati
Purtroppo non lo so pero potresti chiedere all autista,pieretai
Va bene grazie lo stesso,sireito
Prego,pirei
Perfetto vorrei comprarne due.,praearilo
Certo ecco a lei vuole un sacchetto,e grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pero si lo
Buongiorno io sono Mario,prego io
Buonasera io sono Mario,pero sono io
Piacere Luigi come stai,pero io stai
Tutto bene tu,grazie io
