Truth,Decoded
Salve quanto costa quell articolo,a pero io
E in offerta costa dieci euro,pgruiei
Tutto bene grazie,pigrei
Prendiamo un caffe al bar,prendiamo a caffe al bar
"Certo volentieri, io lo prendero macchiato",pgrer
A che ora arriva il pullman,e grazie a
Dovrebbe arrivare tra qualche minuto,va bene lo grazie io
Quanto costa il biglietto,e grazie
Purtroppo non lo so pero potresti chiedere all autista,piegret si
Va bene grazie lo stesso,e a io io lo
Prego,pireai
Perfetto vorrei comprarne due.,e lo mario lo
Certo ecco a lei vuole un sacchetto,e grazie io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,preatoro io io bar
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero so a
Piacere Luigi come stai,pero io e stai
Tutto bene tu,e grazie e io
