Truth,Decoded
Salve quanto costa quell articolo,a beteuantecteo
E in offerta costa dieci euro,si grazie
Tutto bene grazie,si lei
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pireater
A che ora arriva il pullman,prego arriva e e a
Dovrebbe arrivare tra qualche minuto,va bene e io gracriehto
Quanto costa il biglietto,piruati
Purtroppo non lo so pero potresti chiedere all autista,si tutto e lo e emel autista
Va bene grazie lo stesso,si gratieilto
Prego,si grato
Perfetto vorrei comprarne due.,tra lo cetarielr
Certo ecco a lei vuole un sacchetto,e graieaei atasieso
Si grazie e arrivederci,si stai
Le auguro una buona giornata,piacere io artot io cimvme bar
Buongiorno io sono Mario,puogio io
Buonasera io sono Mario,prego lo e io
Piacere Luigi come stai,pero ciecme stai
Tutto bene tu,sruatleo
