Truth,Decoded
Salve quanto costa quell articolo,e latiuarcto
E in offerta costa dieci euro,e grazie
Tutto bene grazie,prego
Prendiamo un caffe al bar,prendiamo a caffe bar
"Certo volentieri, io lo prendero macchiato",praita
A che ora arriva il pullman,e grazie rire a
Dovrebbe arrivare tra qualche minuto,prego covgrare certo
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,piretrata
Va bene grazie lo stesso,e gratreieilti
Prego,prego
Perfetto vorrei comprarne due.,srazieririnieo
Certo ecco a lei vuole un sacchetto,e grazie asito
Si grazie e arrivederci,sirerti
Le auguro una buona giornata,perfetto come artar
Buongiorno io sono Mario,pruongio io
Buonasera io sono Mario,prego un mario
Piacere Luigi come stai,pereilgi io stai
Tutto bene tu,rato
