Truth,Decoded
Salve quanto costa quell articolo,sirero
E in offerta costa dieci euro,pigrei e
Tutto bene grazie,pireti
Prendiamo un caffe al bar,perened io un caffe all
"Certo volentieri, io lo prendero macchiato",pigreti
A che ora arriva il pullman,si grerc si
Dovrebbe arrivare tra qualche minuto,prenen io e lei lo
Quanto costa il biglietto,si grurto
Purtroppo non lo so pero potresti chiedere all autista,piaegrete
Va bene grazie lo stesso,pirei lo
Prego,pigreai
Perfetto vorrei comprarne due.,piacere e due lei
Certo ecco a lei vuole un sacchetto,si grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pirar io tra
Buongiorno io sono Mario,prego
Buonasera io sono Mario,prego a
Piacere Luigi come stai,piacere a
Tutto bene tu,si grazie e e si
