Truth,Decoded
Salve quanto costa quell articolo,sratrocto
E in offerta costa dieci euro,pigraiei
Tutto bene grazie,pigreai
Prendiamo un caffe al bar,prendiamo un caffe a a
"Certo volentieri, io lo prendero macchiato",pgretr
A che ora arriva il pullman,e greiere a
Dovrebbe arrivare tra qualche minuto,bene lo grazie io
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,piegretai
Va bene grazie lo stesso,e certo
Prego,pireai
Perfetto vorrei comprarne due.,tra e edarisi
Certo ecco a lei vuole un sacchetto,e grazie io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,prego pero odciom a
Buongiorno io sono Mario,preario
Buonasera io sono Mario,prego lo io
Piacere Luigi come stai,pero io stai
Tutto bene tu,stai e si
