Truth,Decoded
Salve quanto costa quell articolo,a euro io
E in offerta costa dieci euro,pigraziegi
Tutto bene grazie,pireai
Prendiamo un caffe al bar,prendiamo a caffe al bar
"Certo volentieri, io lo prendero macchiato",pgretai
A che ora arriva il pullman,e grazie a
Dovrebbe arrivare tra qualche minuto,e bene lo grazie io
Quanto costa il biglietto,e gruati
Purtroppo non lo so pero potresti chiedere all autista,pieretai
Va bene grazie lo stesso,e lei lo
Prego,prego
Perfetto vorrei comprarne due.,e mario
Certo ecco a lei vuole un sacchetto,e grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,preoerociear
Buongiorno io sono Mario,pregario
Buonasera io sono Mario,pero mario
Piacere Luigi come stai,pierei io e stai
Tutto bene tu,e grazie si
