Truth,Decoded
Salve quanto costa quell articolo,sareuatro io
E in offerta costa dieci euro,grazie si
Tutto bene grazie,pero stai
Prendiamo un caffe al bar,prenamoa un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e tra a
Dovrebbe arrivare tra qualche minuto,prendero lo bar io
Quanto costa il biglietto,e tutto
Purtroppo non lo so pero potresti chiedere all autista,pierete autista
Va bene grazie lo stesso,e stai lo
Prego,prego
Perfetto vorrei comprarne due.,tra mario
Certo ecco a lei vuole un sacchetto,e tra certo
Si grazie e arrivederci,piretr
Le auguro una buona giornata,pero lo lo a
Buongiorno io sono Mario,brugario
Buonasera io sono Mario,prenir e so a
Piacere Luigi come stai,pero si e stai
Tutto bene tu,a e lo
