Truth,Decoded
Salve quanto costa quell articolo,stai arcrststlo
E in offerta costa dieci euro,e grazie
Tutto bene grazie,srete a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",preiatr
A che ora arriva il pullman,e grazie mario lo
Dovrebbe arrivare tra qualche minuto,prego a ciomgrere io
Quanto costa il biglietto,prego
Purtroppo non lo so pero potresti chiedere all autista,peretr iata
Va bene grazie lo stesso,e grairiclto
Prego,pgratgo
Perfetto vorrei comprarne due.,pero lo erari lo
Certo ecco a lei vuole un sacchetto,e grazie atsio
Si grazie e arrivederci,siretzr
Le auguro una buona giornata,peretorto moacire artar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,priniro sono io
Piacere Luigi come stai,perenir io che stai
Tutto bene tu,a e lo
