Truth,Decoded
Salve quanto costa quell articolo,a lei pero coctsei
E in offerta costa dieci euro,e graiegi
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prutai
A che ora arriva il pullman,e si mario e un
Dovrebbe arrivare tra qualche minuto,prendero io grazie io
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,perete lo lo autista
Va bene grazie lo stesso,e rairi lo
Prego,prego
Perfetto vorrei comprarne due.,tra io certo lo
Certo ecco a lei vuole un sacchetto,e graivi gaoasisi
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,paerfetoaro a caffe tra
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prendero lo sono io
Piacere Luigi come stai,pero io io e stai
Tutto bene tu,rato io e lo
