Truth,Decoded
Salve quanto costa quell articolo,sareroto
E in offerta costa dieci euro,pigruiegi
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,perendao a che al bar
"Certo volentieri, io lo prendero macchiato",pigrutr
A che ora arriva il pullman,pero a
Dovrebbe arrivare tra qualche minuto,pero io lo grazie lo
Quanto costa il biglietto,e gruto
Purtroppo non lo so pero potresti chiedere all autista,piereta
Va bene grazie lo stesso,sigre lo
Prego,pigrugi
Perfetto vorrei comprarne due.,e prego
Certo ecco a lei vuole un sacchetto,e grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,e lo io e
Buongiorno io sono Mario,e mario
Buonasera io sono Mario,pero io e io a
Piacere Luigi come stai,pero io e stai
Tutto bene tu,si grazie e lo
