Truth,Decoded
Salve quanto costa quell articolo,a pero so
E in offerta costa dieci euro,pegraiei
Tutto bene grazie,e a
Prendiamo un caffe al bar,perendao a caffe al bar
"Certo volentieri, io lo prendero macchiato",pgreai
A che ora arriva il pullman,e graiere e
Dovrebbe arrivare tra qualche minuto,bene io grazie io
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,pieret a
Va bene grazie lo stesso,e pero lo
Prego,pirei
Perfetto vorrei comprarne due.,pero eoearile
Certo ecco a lei vuole un sacchetto,e grazie io
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,pero ora io che a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,preiri sono mario
Piacere Luigi come stai,pierei e io e stai
Tutto bene tu,io io
