Truth,Decoded
Salve quanto costa quell articolo,e stai mario come
E in offerta costa dieci euro,peraziegi
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pruai
A che ora arriva il pullman,e grazie arriva e bar
Dovrebbe arrivare tra qualche minuto,bene io grazie minuto
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,pero io e lo e autista
Va bene grazie lo stesso,perairi il io
Prego,prego
Perfetto vorrei comprarne due.,tra roerari io
Certo ecco a lei vuole un sacchetto,e grazie e si
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,piacere tuoaro a cimvme tra
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,preniri lo so a
Piacere Luigi come stai,piacere io si io stai
Tutto bene tu,tra e lo
