Truth,Decoded
Salve quanto costa quell articolo,a lei uantrocstso
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pgruazir
A che ora arriva il pullman,e grazie arriva bar
Dovrebbe arrivare tra qualche minuto,e bene io grazie pero
Quanto costa il biglietto,e grazie
Purtroppo non lo so pero potresti chiedere all autista,pero io e autista
Va bene grazie lo stesso,e gratrsiecleto
Prego,pero
Perfetto vorrei comprarne due.,grazie eoerarien e
Certo ecco a lei vuole un sacchetto,e graniave a stesso
Si grazie e arrivederci,pirerar
Le auguro una buona giornata,pero quanto a come altar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prenir io sono io
Piacere Luigi come stai,piacere io io io e stai
Tutto bene tu,a io io
