Truth,Decoded
Salve quanto costa quell articolo,a lo quanto cotpelo
E in offerta costa dieci euro,e grazie lei
Tutto bene grazie,e e grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pruati a
A che ora arriva il pullman,e grazie arriva e un
Dovrebbe arrivare tra qualche minuto,e bene a io grazie certo
Quanto costa il biglietto,tra e
Purtroppo non lo so pero potresti chiedere all autista,pgruto io lo e e il autista
Va bene grazie lo stesso,e grairsi gigto
Prego,prego
Perfetto vorrei comprarne due.,pero io eriarioc lo
Certo ecco a lei vuole un sacchetto,e quanto io gata gicteo
Si grazie e arrivederci,piregrai
Le auguro una buona giornata,pero quanto io io e tra
Buongiorno io sono Mario,pruongo io mario
Buonasera io sono Mario,prunir lo sono mario
Piacere Luigi come stai,piacere il io dieci io e stai
Tutto bene tu,pruaon lo io
