Truth,Decoded
Salve quanto costa quell articolo,io io si a
E in offerta costa dieci euro,io e e e a
Tutto bene grazie,io io
Prendiamo un caffe al bar,io a a io
"Certo volentieri, io lo prendero macchiato",io a a a io
A che ora arriva il pullman,a a a io
Dovrebbe arrivare tra qualche minuto,io si bar io
Quanto costa il biglietto,io io io
Purtroppo non lo so pero potresti chiedere all autista,tu io io io e riri io
Va bene grazie lo stesso,io io io
Prego,io
Perfetto vorrei comprarne due.,mario
Certo ecco a lei vuole un sacchetto,io a io io
Si grazie e arrivederci,io io a a rato
Le auguro una buona giornata,io si io io
Buongiorno io sono Mario,io a
Buonasera io sono Mario,a rereao
Piacere Luigi come stai,ora io
Tutto bene tu,io io
