Truth,Decoded
Salve quanto costa quell articolo,e io io si io
E in offerta costa dieci euro,e e e io
Tutto bene grazie,e rato
Prendiamo un caffe al bar,pero a io rato
"Certo volentieri, io lo prendero macchiato",reori io rato
A che ora arriva il pullman,e a io
Dovrebbe arrivare tra qualche minuto,e a ora io
Quanto costa il biglietto,io io io io
Purtroppo non lo so pero potresti chiedere all autista,io io io io lo le che io
Va bene grazie lo stesso,pero a io
Prego,io
Perfetto vorrei comprarne due.,preore tutto
Certo ecco a lei vuole un sacchetto,io a io a io
Si grazie e arrivederci,tu arato
Le auguro una buona giornata,pero io
Buongiorno io sono Mario,io io mario
Buonasera io sono Mario,io pero
Piacere Luigi come stai,due e io
Tutto bene tu,pero
